Daisuushii Event Count,Occurrences
Total Deal-in Value With 0 Visible,805200
Total Deal-in Value With 1 Visible,640000
Three Winds Called With Fourth Live,2922
Fourth Wind Drawn After Three Calls,1999
Player With Three Winds Discards Fourth,398
Fourth Wind Discarded With Pao Possible And 1 Visible,326
Fourth Wind Discarded With Pao Possible And 0 Visible,135
Three Winds Called With Fourth Dead,114
Player Called Third Wind After Discarding Fourth,77
Deal-in Counts With 0 Visible,19
Dealt Into Shousuushii With 1 Visible,19
Deal-in Counts With 1 Visible,19
Dealt Into Shousuushii With 0 Visible,17
Daisuushii Won Without Pao And 3 Call(s) (3 of which winds),11
Kan Revealed Second of Fourth Wind After Three Calls,8
Daisuushii Won Without Pao And 2 Call(s) (2 of which winds),7
Dealt Into Other Hand With 0 Visible,1
Dealt Into Daisuushii With 0 Visible,1
Daisuushii Won Without Pao And 1 Call(s) (1 of which winds),1
