Discards in Round Count,Occurrences
71,42449
72,39076
70,36755
73,27456
44,24206
40,24155
41,23831
45,23359
43,23126
42,23057
48,22924
39,22441
37,22414
46,22274
38,22238
36,22234
47,22097
49,21355
35,20526
50,20455
52,20320
51,20088
34,19855
33,19404
53,19146
32,18760
54,17934
56,17523
31,16991
55,16914
57,16260
74,16018
30,15965
29,15422
58,15143
59,14615
60,14604
28,14455
61,13524
62,12437
27,12398
64,11875
63,11822
69,11482
26,11460
65,10896
25,10490
66,10336
68,9969
24,9712
67,9609
23,8020
75,7862
22,7096
21,6292
20,5560
19,4163
18,3612
76,3248
17,3038
16,2663
15,1805
14,1526
13,1257
77,1137
12,962
11,589
10,409
9,366
78,314
8,279
7,163
6,93
5,69
79,64
4,50
3,21
80,19
2,13
0,7
81,4
1,3
