Dora Dragon Event Count,Occurrences
Rounds,74862
Discarded On Turn 4,6320
Discarded On Turn 3,6174
Discarded On Turn 5,5651
Discarded On Turn 2,5290
Discarded On Turn 6,4498
Discarded On Turn 1,3923
Discarded On Turn 7,3644
Discarded On Turn 0,2888
Discarded On Turn 8,2703
Discarded On Turn 9,1973
Discarded On Turn 10,1387
Called On Turn 4,1095
Called On Turn 5,1058
Called On Turn 6,996
Discarded On Turn 11,963
Called On Turn 7,867
Called On Turn 3,864
Called On Turn 8,688
Discarded On Turn 12,684
Called On Turn 2,668
Called On Turn 9,484
Called On Turn 1,467
Discarded On Turn 13,450
Called On Turn 10,376
Discarded On Turn 14,286
Called On Turn 11,274
Called On Turn 0,251
Called On Turn 12,215
Discarded On Turn 15,203
Called On Turn 13,137
Discarded On Turn 16,100
Called On Turn 14,98
Called On Turn 15,93
Discarded On Turn 17,66
Called On Turn 16,53
Called On Turn 17,50
Discarded On Turn 18,20
Called On Turn 18,20
